iteration,energy
0,-8.1634894854
1,-7.2561148813
2,-8.7505823913
3,-8.8619627410
4,-7.9797095694
5,-8.4010312894
6,-8.9646871244
7,-8.8508602186
8,-11.7681916167
9,-11.6656468182
10,-13.0199729428
11,-11.7628263301
12,-13.7744904350
13,-13.6057600776
14,-13.6952262905
15,-14.6002126914
16,-13.9954284282
17,-14.0302592327
18,-14.1556391409
19,-14.1303804508
20,-14.4453313759
21,-13.8371600167
22,-14.2526132353
23,-14.9812535399
24,-13.7812180834
25,-14.1653501359
26,-14.0472662389
27,-14.3065705909
28,-14.5188085030
29,-14.3196644466
30,-14.0171612366
31,-14.3447826862
32,-14.1732346642
33,-14.5480502329
34,-14.6615835611
35,-14.5382479185
36,-14.3153931308
37,-14.2301948084
38,-14.3280500487
39,-14.4842147427
40,-15.1287234586
41,-14.2805465117
42,-14.3593425671
43,-14.3480081799
44,-14.5750248664
45,-14.4653267082
46,-14.5322557937
47,-17.2507343084
48,-14.0787995426
49,-14.2495317571
50,-14.2933918079
51,-14.1042086764
52,-14.2867654724
53,-14.1776242237
54,-14.6182282415
55,-14.1954377597
56,-14.4092010856
57,-14.4059750763
58,-14.3088174256
59,-14.9049461988
60,-14.8374821362
61,-14.7688181615
62,-14.3895029890
63,-14.1425003067
64,-14.0368152751
65,-14.5880856901
66,-14.7011747105
67,-14.3603995913
68,-14.0676900053
69,-14.6791229582
70,-14.5304240252
71,-14.2875444464
72,-14.5641347007
73,-14.4659853000
74,-14.6445696334
75,-14.3419868871
76,-14.0569278677
77,-14.4376442712
78,-14.5454725801
79,-14.5630265794
80,-14.4113008500
81,-14.2701197004
82,-14.7533534054
83,-14.6144969361
84,-14.5665236001
85,-14.6359106473
86,-14.8335481722
87,-14.4739760137
88,-14.6041413775
89,-14.7044874669
90,-15.4729763630
91,-14.5710441878
92,-14.7469442494
93,-14.5008980207
94,-14.8296015987
95,-14.8411349785
96,-14.5988427952
97,-14.6049186918
98,-14.6670030812
99,-15.0658325534
100,-14.5269903719
101,-14.9042282837
102,-14.7379889044
103,-14.7541129009
104,-14.5880636448
105,-14.8283587229
106,-14.8752150867
107,-14.8506893903
108,-14.6882038181
109,-14.6796674834
110,-14.5716975285
111,-14.7245227364
112,-15.0100946687
113,-14.8799760483
114,-14.7807822193
115,-14.8512152632
116,-14.6085783455
117,-14.5840389872
118,-14.6779227527
119,-15.0237088700
120,-14.9344649567
121,-14.3871781427
122,-14.8841278591
123,-14.6752738310
124,-14.9016811069
125,-14.9302995909
126,-14.9382256577
127,-14.5752042250
128,-14.9261688336
129,-15.0035964856
130,-14.6292361035
131,-14.8035450533
132,-14.5064397660
