iteration,energy
0,-13.9001584242
1,-14.7586941354
2,-14.4704730614
3,-14.8992204191
4,-13.9728770335
5,-14.5535998735
6,-15.1480070903
7,-14.6038553906
8,-14.5852946320
9,-14.8304578646
10,-14.6593945287
11,-15.6072271153
12,-15.7949700427
13,-15.8951215228
14,-15.7416444334
15,-16.0708292399
16,-15.8186332312
17,-16.0984383218
18,-16.6017161523
19,-15.9556553593
20,-15.7618490602
21,-16.1398911996
22,-16.0096890880
23,-16.0885920096
24,-15.9849604514
25,-16.4606920228
26,-16.9028399425
27,-15.9000898092
28,-16.5011841857
29,-16.4396567274
30,-15.9996386182
31,-16.6654145523
32,-16.1650125316
33,-16.2737877283
34,-16.9783558564
35,-16.4964151376
36,-16.4921215806
37,-16.6067452332
38,-16.1795117832
39,-16.4149553964
40,-16.7970681581
41,-16.3941004203
42,-16.4326924442
43,-16.1159559144
44,-16.3466651831
45,-16.5365073151
46,-17.1523955615
47,-16.4885396530
48,-17.0404050047
49,-16.5507967351
50,-16.5330251663
51,-17.2157515116
52,-16.4275342559
53,-16.7848142089
54,-16.3424678400
55,-16.9827844408
56,-16.7908770938
57,-17.3165405358
58,-16.9695349835
59,-17.1557404789
60,-17.7167615561
61,-16.9808935478
62,-16.8198898609
63,-16.9424806095
64,-16.6871168911
65,-16.9528157424
66,-16.9547494146
67,-17.3099555972
68,-16.7679045118
69,-17.2531066851
70,-17.5659532059
71,-16.6207611968
72,-16.9270857849
73,-17.0142444957
74,-17.2185224230
75,-16.8614328628
76,-17.6728435438
77,-16.6747965948
78,-17.1558416283
79,-16.9040381211
80,-16.9526264440
81,-16.9286709157
82,-16.6073274636
83,-16.8594221816
84,-17.0846824666
85,-16.7212131317
86,-17.1235321701
87,-16.6685570737
88,-16.7864242251
89,-17.2906036366
90,-17.2438897909
91,-17.2666773802
92,-17.6813150868
93,-17.2727627140
94,-17.3138934455
95,-16.8504631197
96,-17.0331768806
97,-16.8459993717
98,-17.1553252942
99,-17.1248136287
100,-16.7610754054
101,-16.6543383548
102,-17.1354269241
103,-16.7950521868
104,-16.7820032093
105,-17.2280942379
106,-17.2594771289
107,-17.2606850025
108,-17.3122277726
109,-16.7358669402
110,-16.6910841143
111,-17.2490461256
112,-16.9246655622
113,-17.0210713450
114,-16.7276294694
115,-17.0356938053
116,-16.8324058420
117,-16.9093995971
118,-17.2385348141
119,-17.3966267689
120,-17.2318093449
121,-16.8461811006
122,-17.2420389651
123,-17.2869851302
124,-17.0047100249
125,-16.6445810370
126,-17.4895480227
127,-17.1024307967
128,-16.9972291007
129,-17.4471707484
130,-17.6541041441
131,-17.0940639926
132,-16.9247522525
133,-17.4150527713
134,-17.3442026651
135,-16.6124654159
136,-17.2894668676
137,-17.4736254211
138,-17.2256280142
139,-16.9943896487
140,-16.7363444482
141,-16.9587953665
142,-16.8306141119
143,-17.3903307013
144,-17.3477284474
145,-17.2401308545
146,-16.6630766085
147,-17.1607811346
148,-17.0567344755
149,-17.1711461608
150,-16.8823104898
151,-16.8614158392
152,-17.1531015633
153,-17.2366786959
154,-16.8854487484
155,-17.1050942652
156,-17.3873103936
157,-17.4441311533
158,-17.0295322113
159,-17.4809640461
160,-17.3919930695
161,-17.2508305289
162,-16.6614644849
163,-16.5754480407
164,-16.6576594318
165,-16.7804671803
166,-16.7427614233
167,-16.9371853010
168,-17.2241253689
169,-16.8671873707
170,-17.2956698226
171,-17.1092311589
172,-17.0973147626
173,-16.8659275367
174,-17.1705554171
175,-17.3459555132
176,-17.4345002711
177,-17.0604476290
178,-17.2565601665
179,-16.9841924538
180,-17.2864279214
181,-17.1609088440
182,-16.8936740912
183,-17.0978072732
184,-17.1863867109
185,-17.1257707898
186,-17.4456984069
187,-16.9546236936
188,-17.2562453581
189,-17.0796807929
190,-17.2285113792
191,-17.2289263720
192,-17.1275066414
193,-17.0811553520
194,-17.3298137806
195,-17.1338143026
196,-17.2901172586
197,-16.9221227582
198,-17.0631848368
199,-17.1820708516
200,-16.9170904226
201,-17.1961278886
202,-17.0709954139
203,-17.1133254537
204,-17.0909578122
205,-17.6118438056
206,-17.2372243102
207,-17.1328950763
208,-17.2509913557
209,-16.8998279109
210,-17.0602863356
211,-17.1191490074
212,-16.9185048815
213,-17.3068577222
214,-17.3483414767
215,-17.2182798406
216,-17.0755393937
217,-17.1049015826
218,-17.1207973111
219,-17.1289589645
220,-16.8279590218
221,-17.2704517328
222,-17.0694216011
223,-17.1861121722
224,-16.8879250335
225,-17.1843790744
226,-17.3612049810
227,-17.1477255118
228,-17.0622126604
229,-17.1194242268
230,-17.4176952817
231,-17.2287576307
232,-16.9276696664
233,-17.2663173598
234,-16.9590443133
235,-17.1621964958
236,-16.8805366734
237,-17.3488041679
238,-16.9689549509
239,-17.1074094914
240,-17.0989245896
241,-17.3487053891
242,-16.8714956324
243,-17.0969572446
244,-17.2275223020
245,-17.2339264306
246,-17.1944314493
247,-17.0898524387
248,-17.5226731010
249,-17.3342321038
250,-17.1105703639
251,-17.2120897034
252,-17.1349642069
253,-17.2810043910
254,-17.1200283878
255,-17.1592846173
256,-17.1980170924
257,-17.1041559365
258,-17.3120799445
259,-17.2381979117
260,-17.1817849834
261,-17.3423869441
262,-17.3499765166
263,-17.4801472734
264,-17.2502972081
265,-17.1887908529
266,-17.1718490549
267,-17.1496581283
268,-17.2703729201
269,-17.4744566249
270,-17.4602842961
271,-17.0984615136
272,-17.2040357974
273,-17.1232614130
274,-17.2911516520
275,-17.2140671852
276,-17.3744956319
277,-16.9673630986
278,-17.0806371901
279,-17.1488230273
280,-17.3540960888
281,-17.3896310731
282,-17.4275261764
283,-17.2943402721
284,-17.2142852926
285,-17.2921817923
286,-17.2223663210
287,-17.3880694153
288,-17.0329568711
289,-17.2705603863
290,-17.2435759136
291,-17.1994957781
292,-17.3841246822
293,-17.2996167100
294,-17.1256349149
295,-17.1760874195
296,-17.1218220435
297,-17.2138781403
298,-17.4171356008
299,-17.1315668243
300,-17.2338729741
301,-17.2679600838
302,-17.3828355562
303,-17.0725013692
304,-17.3629710103
305,-17.2947720075
306,-17.1778442639
307,-17.2140808792
308,-17.3420050823
309,-17.0137426140
310,-17.0947826015
311,-17.1881634601
312,-17.4777586727
313,-17.4949180870
314,-17.3344248394
315,-17.3925446579
316,-17.1951365418
317,-17.3527694310
318,-17.4759184251
319,-17.4105924926
320,-17.2648349456
321,-17.2716705466
322,-17.2907720807
323,-17.4946294521
324,-17.2342648394
325,-17.1914741295
326,-16.9267255403
327,-17.3229114329
328,-17.3344869381
329,-17.1345146903
330,-17.2848102167
331,-17.0415222034
332,-17.2887300048
333,-17.6157577920
334,-17.2356302498
335,-17.3585862548
336,-17.3624743853
337,-17.3757285696
338,-17.0969752530
339,-17.5034547127
340,-17.1820226153
341,-17.5780877437
342,-17.2530129587
343,-17.3489345512
344,-17.5700719059
345,-17.3330604024
346,-17.4798208179
347,-17.2583569397
348,-17.2562379175
349,-17.4413908026
350,-17.3981963307
351,-17.2749119177
352,-17.3258898397
353,-17.2066836076
354,-17.6973569528
355,-17.2557549058
356,-17.5174296955
357,-17.5994236002
358,-17.7039973451
359,-17.2355920477
360,-17.0774718627
361,-16.8442212064
362,-17.3957645913
363,-17.2664963745
364,-17.3235727099
365,-17.2025439652
366,-17.3412001516
367,-17.5284537071
368,-17.3474475858
369,-17.3514957594
370,-17.1340516042
371,-17.4020233270
372,-17.4587744740
373,-17.0461608068
374,-17.3423184355
375,-17.2181139344
376,-17.4911958250
377,-17.2908057756
378,-17.4179562079
379,-17.3363435371
380,-17.3098127309
381,-17.5621124618
382,-17.4570493534
383,-17.4785099670
384,-17.4929081304
385,-17.1204513637
386,-17.2263210673
387,-17.2709914485
388,-17.1292148604
389,-17.1720550901
390,-17.4100018493
391,-17.3779635707
392,-17.2651802189
393,-17.1861511881
394,-17.4101389912
395,-17.2450229606
396,-17.4315870773
397,-17.4280737715
398,-17.3976429538
399,-17.3899041222
400,-17.3256847987
401,-17.1784205984
402,-17.4651834816
403,-17.3204488573
404,-17.2656027184
405,-17.4866222897
406,-17.3367645612
407,-17.4658151554
408,-17.3829017720
409,-17.1086446862
410,-17.3955029946
411,-17.2649684432
412,-17.2832519784
413,-17.3380735760
414,-17.2816563873
415,-17.2620776948
416,-17.3492630207
417,-17.3384651470
418,-17.2550684894
419,-17.2888086516
420,-17.2812201773
421,-17.3048430071
422,-17.3461532636
423,-17.2929177706
424,-17.4255368140
425,-17.2259374462
426,-17.1458471190
427,-17.3728945913
428,-17.2953745803
429,-17.4730614102
430,-17.3953707306
431,-17.3890308933
432,-17.0948765929
433,-17.2452920133
434,-17.3669670655
435,-17.2320893576
436,-17.3464599275
437,-17.4259355188
438,-17.2939110367
439,-17.2418475426
440,-17.2726614555
441,-17.3523426986
442,-17.3644025761
443,-17.4795424299
444,-17.3286034010
445,-17.3963592232
446,-17.2932192340
447,-17.5154315029
448,-17.3684924780
449,-17.3530027723
450,-17.3056405685
451,-17.2055789166
452,-17.3976064490
453,-17.3139016226
454,-17.3149332212
455,-17.4140301235
456,-17.1250414290
457,-17.2808293228
458,-17.6112015268
459,-17.5277346773
460,-17.3001060236
461,-17.4334339125
462,-17.2036585599
463,-17.1595290705
464,-17.5734690850
465,-17.4241787888
466,-17.2756434791
467,-17.4252871062
468,-17.5909393896
469,-17.5505580955
470,-17.4041110322
471,-17.5600894409
472,-17.2574687330
473,-17.4661804246
474,-17.4253894783
475,-17.5248947405
476,-17.3257847007
477,-17.3538275142
478,-17.2911232864
479,-17.4277189535
480,-17.2392628738
481,-17.2774817279
482,-17.3592292257
483,-17.4663146285
484,-17.5206396763
485,-17.0104209424
486,-17.4979147136
487,-17.2187353505
488,-17.4675208069
489,-17.3343495275
490,-17.2636319482
491,-17.3134919036
492,-17.5408426624
493,-17.3839404405
494,-17.3912101835
495,-17.2593760118
496,-17.3823685128
497,-17.3785378435
498,-17.2480565995
499,-17.1255388381
500,-17.1938765771
501,-17.1401386528
502,-17.4341773640
503,-17.0786634237
504,-17.3603832671
505,-17.4800492362
506,-17.4223578410
507,-17.5137907759
508,-17.4745147455
509,-17.5335520578
510,-17.5718824465
511,-17.5511465767
512,-17.3580501814
513,-17.3039150271
514,-17.5459996069
515,-17.5524572852
516,-17.5244968665
517,-17.3338696830
518,-17.2658553902
519,-17.1476321954
520,-17.1959093815
521,-17.2197049753
522,-17.1834327573
523,-17.0162090919
524,-17.4777169339
525,-17.0484859439
526,-17.1336125789
527,-17.6044530128
528,-17.6297310029
529,-17.3117539984
530,-17.4636238283
531,-17.3933911818
532,-17.3544375016
533,-17.2319707105
534,-17.4453641595
535,-17.3689699324
536,-17.6409061602
537,-17.2976332840
538,-17.5019426962
539,-17.5799798324
540,-17.4433250564
541,-17.1987234964
542,-17.1078861349
543,-17.1118529089
544,-17.5354885427
545,-17.2234153715
546,-17.4600016883
547,-17.9195276472
548,-17.1361964632
549,-17.3308156284
550,-17.4350728066
551,-17.1705719196
552,-17.6429573353
553,-17.1676578682
554,-17.3620019240
555,-17.1696541833
556,-17.2501423652
557,-17.2368291213
558,-17.3569057229
559,-17.2347452874
560,-17.2431365090
561,-17.4167933109
562,-17.4340952421
563,-17.3818990200
564,-17.4460062191
565,-17.4887949263
566,-17.3351213380
567,-17.3118894799
568,-17.3167048090
569,-17.5458729106
570,-17.3473092777
571,-17.4596246752
572,-17.3649939455
573,-17.4068223123
574,-17.6125920856
575,-17.4497608406
576,-17.5183369820
577,-17.5395551393
578,-17.1741320852
579,-17.2931572756
580,-17.6216425240
