iteration,energy
0,-7.7584403218
1,-7.4746452464
2,-6.8546512424
3,-7.1060719179
4,-7.7691072453
5,-8.0258378788
6,-7.8726356145
7,-7.8630537181
8,-7.6364379893
9,-9.5885337470
10,-9.0093307631
11,-8.6129611765
12,-10.6105630095
13,-11.2783776197
14,-12.2808026371
15,-12.8127691047
16,-13.9991826849
17,-12.0513997183
18,-11.9219321438
19,-11.7743193484
20,-11.6463657630
21,-11.7164098243
22,-11.9150048571
23,-11.6474652077
24,-11.6184483711
25,-11.7605908384
26,-11.9178408857
27,-11.7058613011
28,-11.8180082857
29,-11.7223711947
30,-11.8418245903
31,-11.6688686260
32,-12.2018744719
33,-11.9001900682
34,-12.1482443891
35,-11.4173867834
36,-11.9354789445
37,-11.6567738569
38,-11.6120611245
39,-11.9722657070
40,-11.8373958399
41,-11.9584335757
42,-11.9206358567
43,-11.7254830527
44,-11.6402428451
45,-11.7212874021
46,-11.7186705762
47,-11.7758330107
48,-11.8397397927
49,-11.7206665814
50,-11.8600480028
51,-11.8022106171
52,-11.7605209777
53,-11.7574707638
54,-11.8210792150
55,-12.0000852780
56,-11.8685653443
57,-11.9516505238
58,-13.2340045840
59,-11.9333114215
60,-11.7358789790
61,-13.5506638923
62,-12.0088523246
63,-12.0161286593
64,-11.9654858345
65,-11.9588876654
66,-12.0519978217
67,-11.9599168404
68,-12.1859895183
69,-11.9726114282
70,-12.0496091374
71,-12.1296612465
72,-12.0301190763
73,-11.9985648500
74,-12.0405890880
75,-12.0365172375
76,-11.8580863508
77,-12.0078420732
78,-12.0610958276
79,-12.0839079862
80,-12.0415161757
81,-11.8104935228
82,-12.1291693690
83,-12.1374678110
84,-11.8234240316
85,-12.0747427036
86,-12.0396740607
87,-12.1988897097
88,-12.0482889810
89,-12.0703621681
90,-12.0405700253
91,-11.9793272277
92,-12.0660273006
93,-11.9752427771
94,-11.9926752708
95,-12.3945984656
96,-12.4453511390
97,-12.2233355194
98,-14.4810474270
99,-12.0545873650
100,-12.0598910856
101,-12.2017041886
102,-12.2693369209
103,-12.3623724511
104,-12.3409700363
105,-11.9873935749
106,-12.2516592067
107,-12.1678389543
108,-12.1627190293
109,-11.9592389202
110,-12.1512731626
111,-12.4757725616
112,-12.3499895846
113,-12.2518625490
114,-12.2917566942
115,-12.1916229015
116,-11.9958908921
117,-12.3024332563
118,-12.4481586159
119,-12.4476039654
120,-11.9739378148
121,-12.3173058961
122,-12.3783009077
123,-12.3548663187
124,-12.2673698878
125,-12.3293192196
126,-11.9952578341
127,-12.1056652502
128,-12.6110625945
129,-12.4889176286
130,-12.1294228958
131,-12.2363284353
132,-12.5121496672
133,-12.3474995373
134,-12.2390082132
135,-12.3681179543
136,-12.3984670528
137,-12.2403436954
138,-12.4916500523
139,-12.5305660247
140,-12.2782359532
141,-12.6838592680
142,-12.2980586099
143,-12.2879840887
144,-12.7452255070
145,-12.3563352199
146,-12.1846849155
147,-12.4956585818
148,-12.2388969789
149,-12.6864341051
150,-12.3848961118
151,-12.0236416937
152,-12.1907187060
153,-12.4475067565
154,-12.0463159936
