iteration,energy
0,-23.6604381396
1,-23.5846323250
2,-23.7534291561
3,-24.5268551411
4,-24.4439924476
5,-25.0180165275
6,-25.1185552478
7,-24.1234692750
8,-23.6422950417
9,-24.1428815650
10,-25.3940197178
11,-24.6580268461
12,-24.0380437460
13,-25.2587488130
14,-24.7630969859
15,-26.6000794232
16,-25.3257974850
17,-24.3362596909
18,-25.5323560047
19,-25.0884824906
20,-24.5518872648
21,-25.4708772822
22,-25.0198446180
23,-25.6524860414
24,-25.3222125358
25,-24.9783455050
26,-25.2114394229
27,-25.3250355720
28,-25.4676866352
29,-25.3673997802
30,-25.4424868870
31,-24.9444318768
32,-25.9538213846
33,-24.9311756349
34,-25.1195851259
35,-25.6229538506
36,-25.4718006504
37,-26.3191092274
38,-26.1815765807
39,-26.4239489843
40,-26.2110300402
41,-26.1998484365
42,-25.3566693462
43,-25.7643919856
44,-25.5788851337
45,-25.8922031310
46,-25.8920512916
47,-25.4127430547
48,-26.0739250186
49,-26.3063431107
50,-26.3301764488
51,-26.0958569473
52,-25.7069602100
53,-26.1207319563
54,-26.0729254628
55,-25.8962963628
56,-26.2648326456
57,-26.4486893667
58,-26.2772371109
59,-25.9529844769
60,-26.1961229836
61,-26.0922310488
62,-26.2618783161
63,-25.7913582521
64,-26.0127680091
65,-25.6930575456
66,-25.8560289687
67,-26.4252566569
68,-25.8842180005
69,-26.0975863329
70,-25.9184270687
71,-26.0196449556
72,-26.0349403107
73,-26.1342375639
74,-26.3598102623
75,-26.2868846339
76,-26.6317547515
77,-26.3563659885
78,-26.9692144246
79,-25.8764267290
80,-26.1444256516
81,-26.2183126713
82,-26.0932896233
83,-26.6071706835
84,-26.1319561205
85,-26.0979441761
86,-26.5029502938
87,-26.0012488050
88,-26.0028977526
89,-25.9235336369
90,-26.2534631864
91,-26.2783395312
92,-26.0905507097
93,-25.9239750286
94,-26.5812817558
95,-26.5378797222
96,-26.6749231453
97,-26.1996064247
98,-26.0592644590
99,-26.3808058380
100,-26.2402671464
101,-25.9818288642
102,-26.6582545884
103,-26.4350502890
104,-26.4422526029
105,-26.4946877730
106,-26.1765338868
107,-26.5555448200
108,-26.1908240097
109,-26.4141597097
110,-26.4531349094
111,-26.3190314682
112,-26.1718588365
113,-26.4339320902
114,-26.1714372513
115,-26.4598951402
116,-26.4292725226
117,-26.3101908787
118,-26.5115853916
119,-26.3297560590
120,-26.3867724690
121,-26.4727701259
122,-26.2605722887
123,-26.7259619612
124,-26.3315511089
125,-25.9988942950
126,-26.5858665057
127,-26.0875012540
128,-26.3331116231
129,-26.0222566321
130,-26.3750238930
131,-26.4010307190
132,-26.3408398215
133,-26.3146995204
134,-26.0274777675
135,-26.1772424285
136,-26.0373547142
137,-26.1801384814
138,-26.2073316013
139,-26.1710553579
140,-26.3040106865
141,-26.5182195809
142,-26.3494357234
143,-26.4925229380
144,-26.3389094276
145,-26.3867473497
146,-26.6677373846
147,-26.3347801574
148,-26.4620801459
149,-26.6168520462
150,-26.0974061698
151,-26.7455379275
152,-26.4514893023
153,-26.3424284659
154,-26.1981568786
155,-26.0338993243
156,-26.5088414586
157,-26.2171647926
158,-26.3515616789
159,-26.7501443587
160,-26.5362326113
161,-26.3040677371
162,-26.3480342331
163,-26.2351369036
164,-26.4327218275
165,-26.1502714174
166,-26.4568724232
167,-26.6884167368
168,-25.9846255409
169,-26.4420871619
170,-26.0402209992
171,-26.0576261679
172,-26.6666798420
173,-26.1984460823
174,-26.3680075722
175,-26.2079010527
176,-26.4927904713
177,-26.3355356182
178,-26.3456123887
179,-26.2529982356
180,-26.2615830342
181,-26.4683252027
182,-26.4574696027
183,-26.3674210864
184,-26.4913150638
185,-26.1186652158
186,-26.4668982235
187,-26.2483754591
188,-26.2538421289
189,-26.2480021137
190,-26.6235961519
191,-26.4868202457
192,-26.1815480156
193,-26.2715135551
194,-26.2693609487
195,-26.3099205982
196,-26.6286931424
197,-26.7766266246
198,-26.3515714883
199,-26.6487171943
200,-26.4214726887
201,-26.5160409380
202,-26.5968857675
203,-26.2555001239
204,-26.3712204715
205,-26.4738965887
206,-26.5803723961
207,-26.2995961952
208,-26.3227961811
209,-26.6462352091
210,-26.5642581856
211,-26.5355698936
212,-26.4658033111
213,-26.4469691633
214,-26.3544134901
215,-26.4665348852
216,-26.6549141234
217,-26.3750754815
218,-26.6373019948
219,-26.5258067572
220,-26.5260275320
221,-26.3787518367
222,-26.6512176251
223,-26.1401819383
224,-26.6392144022
225,-26.2225244147
226,-26.0326408346
227,-26.2647782062
228,-26.4994656797
229,-26.5341286769
230,-26.3825876462
231,-26.3264414080
232,-26.2555557405
233,-26.6199705913
234,-26.4776414364
235,-26.4444516051
236,-26.3984588627
237,-26.3436181998
238,-26.2741873663
239,-26.2080995179
240,-26.7226948515
241,-26.7276279120
242,-26.4577194163
243,-26.6563771449
244,-26.4863783084
245,-26.7023708398
246,-26.5369927560
247,-26.4973142400
248,-26.2692747254
249,-26.6901351272
250,-26.3276702704
251,-26.1009860753
252,-26.0061739369
253,-26.5403839940
254,-26.4821349507
255,-26.2169513958
256,-26.5054791785
257,-26.5097241598
258,-26.8805830903
259,-26.2720601893
260,-26.5956554254
261,-26.5174795204
262,-26.5684771608
263,-26.2148452735
264,-26.3144072189
265,-25.9474923604
266,-26.3567433689
267,-26.4660972813
268,-26.6872958030
269,-26.4700059539
270,-26.3016632075
271,-26.1701937490
272,-26.5990180179
273,-26.6691342278
274,-26.2790084739
275,-26.3159437322
276,-26.7288258746
277,-26.1101569829
278,-26.4968764089
279,-26.4363071852
280,-26.4600471216
281,-26.6582294011
282,-26.3178517177
283,-26.5322920749
284,-26.2147619067
285,-26.0814142280
286,-26.3419952656
287,-26.4863701840
288,-26.4832383169
289,-26.3896538521
290,-26.3614354961
291,-26.6855700415
292,-26.2409302327
293,-26.6121379729
294,-26.1512380024
295,-26.2321386407
296,-26.3404504060
297,-26.4875309994
298,-26.1940765026
299,-25.9925083178
300,-26.2180577436
301,-26.1379907403
302,-26.4064003233
303,-26.6070252991
304,-26.5020149633
305,-26.5002374941
306,-26.4531612810
307,-26.8348014226
308,-26.5461652611
309,-26.3859672270
310,-26.5360291599
311,-26.2832673622
312,-26.4707758917
313,-26.2811895752
314,-26.3445745357
315,-26.1544097818
316,-26.4357304626
317,-26.4051905522
318,-26.4600611730
319,-26.3154878764
320,-26.5046568028
321,-26.4536056935
322,-26.6962719985
323,-26.5164293886
324,-26.3533396181
325,-26.4462193429
326,-26.4006602673
327,-26.3159449773
328,-26.5277551913
329,-26.4389599240
330,-26.3328969207
331,-26.5609887227
332,-26.3485450383
333,-26.4065948431
334,-26.5282672286
335,-26.3374327995
336,-26.5214695362
337,-26.5263614110
338,-26.1419559882
339,-26.4383449006
340,-26.3849653675
341,-26.3578616451
342,-26.4930088252
343,-26.7793999729
344,-26.7255422571
345,-26.4174510715
346,-26.3991797023
347,-26.3990575269
348,-26.3416886126
349,-26.7286897062
350,-26.5341475425
351,-26.5612857505
352,-26.4283675443
353,-26.3744314450
354,-25.8591938349
355,-26.3762616300
356,-26.6879755961
357,-26.0886551992
358,-26.3774799213
359,-26.3910383640
360,-26.0865818373
361,-26.3510549467
362,-26.3974334750
363,-26.8042262985
364,-26.5774007875
365,-26.5767414509
366,-26.1497574633
367,-26.2794926829
368,-26.6087178896
369,-26.5373929153
370,-26.3705488403
371,-25.9809178885
372,-26.4677773998
373,-26.3442009415
374,-26.4401595072
375,-26.2491230507
376,-26.2466761456
377,-26.3938387465
378,-26.2910691255
379,-26.2458590652
380,-26.4258980116
381,-26.6056015658
382,-26.3811413457
383,-26.6762601031
384,-26.4715145921
385,-26.4378295557
386,-26.5325783130
387,-26.6550243604
388,-26.6973124487
389,-26.3053044887
390,-26.2870124211
391,-26.3973450660
392,-26.5919613084
393,-26.3774327080
394,-26.6238805303
395,-26.3599772397
396,-26.2145289860
397,-26.1237875999
398,-26.5835925131
399,-26.0392211014
400,-26.3466219156
401,-26.2718472143
402,-26.1009112857
403,-25.9522944858
404,-26.2152497651
405,-26.1371374226
406,-26.5030086504
407,-26.3666648773
408,-26.4847340028
409,-26.2858844072
410,-26.4119072869
411,-26.3251637730
412,-26.3843675024
413,-26.3005465164
414,-26.3493815267
415,-26.2952136286
416,-26.8095336335
417,-26.5261009658
418,-26.1858395235
419,-26.6632052717
420,-26.3295519697
421,-26.2364434998
422,-26.0799534008
423,-26.5272454453
424,-26.4462823965
425,-26.4207061256
426,-26.3531233924
427,-26.4252973032
428,-26.1533220632
429,-26.3925121773
430,-26.6184075037
431,-26.6343778185
432,-26.1484232921
433,-26.2378134694
434,-26.4969695018
435,-26.1065297622
436,-26.4332384378
437,-26.3184061461
438,-26.6816656954
439,-26.2060353986
440,-26.6468889600
441,-26.0306478883
442,-26.3118630570
443,-26.1524791621
444,-26.3340565138
445,-25.9857098584
446,-26.4620868096
447,-26.1177531942
448,-26.4182558979
449,-26.2684358403
450,-26.3248502764
451,-26.3100358425
452,-25.8202541214
453,-26.7584450299
454,-26.0588294754
455,-26.4822378520
456,-25.8859048395
457,-25.9396015536
458,-26.2230534602
459,-26.3289820578
460,-26.6466796199
461,-26.4185832396
462,-26.3890437013
463,-26.0680172697
464,-26.1650573675
465,-26.1982515008
466,-26.1182083884
467,-26.0024585211
468,-26.6043642942
469,-26.3899714985
470,-26.2672656805
471,-26.3477809990
472,-26.6701809833
473,-26.4683911895
474,-26.5409291649
475,-26.7236073419
476,-26.5858959850
477,-26.1822262041
478,-26.5802167845
479,-26.1076795642
480,-26.3021951219
481,-26.5204508640
482,-26.5168003359
483,-26.2961378630
484,-26.3875435512
485,-26.2064636789
486,-26.2198825645
487,-26.3870206983
488,-26.5351743054
489,-26.3122776304
490,-26.5523336547
491,-26.0559095290
492,-26.5307980180
493,-26.5185763891
494,-26.5176100450
495,-26.5970097159
496,-26.4813196556
497,-26.6851547300
498,-26.6502966125
499,-26.1399669906
500,-26.3263507450
501,-26.1836920474
502,-26.2263411042
503,-26.2360573469
504,-26.3739527851
505,-26.5515344959
506,-26.2100356142
507,-26.1862307997
508,-25.8277664327
509,-26.5500794219
510,-26.3775920358
511,-26.1755215790
512,-26.3070324308
513,-26.5512326699
514,-26.0076953772
515,-26.4232469310
516,-26.2697309312
517,-26.4255907486
518,-26.4716844275
519,-26.2630782080
520,-26.6685112906
521,-25.9307852953
522,-26.3204309463
523,-26.3050305280
524,-26.2394873024
525,-26.5078215159
526,-26.0643390715
527,-26.3225614148
528,-26.4932463762
529,-26.4394420529
530,-25.7988979409
531,-26.3152854380
532,-26.1324384697
533,-26.0860496228
534,-26.3583726441
535,-26.2476058189
536,-26.6815267272
537,-26.6774691445
538,-26.7073017970
539,-26.6841492899
540,-26.3105370579
541,-26.4667303974
542,-26.1983299211
543,-26.4217456729
544,-26.7319663593
545,-26.2714400658
546,-26.2453024119
547,-26.5817474432
548,-26.4905184835
549,-26.2113774555
550,-26.5304980094
551,-26.0605092345
552,-26.3933483783
553,-26.6450627735
554,-26.5380183219
555,-26.4331953414
556,-26.0260036518
557,-26.6043814374
558,-26.5527519931
559,-26.2191356837
560,-26.3162139376
561,-26.1352960615
562,-26.6482940782
563,-26.1582190015
564,-26.3448549301
565,-26.4040049361
566,-26.5053331485
567,-26.5977257893
568,-26.3370130396
569,-26.6507983070
570,-26.3068304735
571,-26.0807186357
572,-26.5369083369
573,-26.3954588888
574,-26.1222790658
575,-26.4614361166
576,-26.4044762833
577,-26.3124169528
578,-26.5068390734
579,-25.9533543872
580,-26.5627912316
581,-26.5958085552
582,-26.2919742488
583,-26.3195739679
584,-26.5069139227
585,-26.4748027618
586,-26.6618151909
587,-26.1394976234
588,-26.4148729994
589,-26.4564689865
590,-26.2677256252
591,-26.4142026514
592,-26.3779388452
593,-26.3333561378
594,-26.5188899040
595,-26.3654308967
596,-26.2718179627
597,-26.5880267566
598,-26.4132840815
599,-26.3846764574
600,-26.1296428650
601,-26.1445181168
602,-26.6806989241
603,-26.4033145931
604,-26.6837837198
605,-26.4905172440
606,-26.2734868287
607,-26.2781897943
608,-26.0704521626
609,-26.7607995998
610,-26.1230088100
611,-26.5523837281
612,-26.6007583862
613,-26.4534113793
614,-26.5553676031
615,-26.3186330311
616,-26.2134049695
617,-26.3128345400
618,-26.5567864145
619,-26.5588312624
620,-26.5133612984
621,-26.3834128492
622,-26.4478963487
623,-26.5172533998
624,-26.6258462052
625,-26.5460766001
626,-26.4678402957
627,-26.5661893568
628,-26.4774460172
629,-26.3077678722
630,-26.4940374429
631,-26.7754121761
632,-26.5322319589
633,-26.5827589349
634,-26.2199896565
635,-26.3490712429
636,-26.7933270558
637,-26.7405536463
638,-26.2766935607
639,-26.6553519662
640,-26.3979109051
641,-26.5398134691
642,-26.5288156224
643,-26.3407410836
644,-26.3522572505
645,-26.4070824375
646,-26.4202005453
647,-26.7248852184
648,-26.7258173125
649,-26.3332551950
650,-26.7793945032
651,-26.2852312645
652,-26.4052065114
653,-26.4946443412
654,-26.6075337097
655,-26.4320895577
656,-26.3767328923
657,-26.2001361777
658,-26.3471515172
659,-26.5350618570
660,-26.6408003665
661,-26.6313957877
662,-26.4515714149
663,-26.5011807321
664,-26.1162642833
665,-26.3164951147
666,-26.3870437111
667,-26.0322259613
668,-26.5155672978
669,-26.5898677636
670,-26.1518631695
671,-26.5360985533
672,-26.2445310782
673,-26.3305452805
674,-26.4537326213
675,-26.5448120371
676,-26.2958291631
677,-26.4581052575
678,-26.3606602822
679,-26.2089686281
680,-26.0259462047
681,-26.4185753809
682,-26.5377976181
683,-26.4384665643
684,-26.4686202856
685,-26.5089922473
686,-26.1714199925
687,-26.5114917173
688,-26.5153396505
689,-26.4898172069
690,-26.4286844525
691,-26.6066799313
692,-26.6208665384
693,-26.7002602067
694,-26.5014068686
695,-26.6828753508
696,-26.3661162763
697,-26.3504288259
698,-26.2494256618
699,-26.5922884722
700,-26.2686108366
701,-26.6772675171
702,-26.5334423170
703,-26.4239343036
704,-26.2729353356
705,-26.1777555443
706,-26.5638976662
707,-26.5053102385
708,-26.3554357219
709,-26.6500511874
710,-25.9805415178
711,-26.5160115651
712,-26.2950791019
713,-26.6510097837
714,-26.2638711053
715,-26.3854160452
716,-26.4443266912
717,-26.4027004936
718,-26.5465478467
719,-26.3063837813
720,-26.2391224606
721,-26.2893725581
722,-26.2574088120
723,-26.4684549077
724,-26.6117479361
725,-26.7217297060
726,-26.5644907641
727,-26.4613272557
728,-26.1241418255
729,-26.4505087522
730,-26.4710835704
731,-26.3993107337
732,-26.6793414877
733,-26.3663143163
734,-26.5133113441
735,-26.6518286342
736,-26.6236292266
737,-26.5691958176
738,-26.3462031010
739,-26.7667460490
740,-26.3670285933
741,-26.5091530661
742,-26.7080013486
743,-26.5165680161
744,-26.4328574969
745,-26.5817129684
746,-26.4423682961
747,-26.1500817884
748,-26.6303465197
749,-26.6439025740
750,-26.5646535553
751,-26.5681603449
752,-26.3824043620
753,-26.4726045297
754,-26.5210903441
755,-26.5444466550
756,-26.6489161483
757,-26.4419455778
758,-26.6634670402
759,-26.3126846950
760,-26.3995691591
761,-26.5647933801
762,-26.4500114990
763,-26.4806877950
764,-26.5502259133
765,-26.5172325165
766,-26.5569680313
767,-26.6084167096
768,-26.3152283640
769,-26.2873720987
770,-26.3448754964
771,-26.6118163096
772,-26.4011891444
773,-26.4377552964
774,-26.5146409930
775,-26.6342193871
776,-26.3730560587
777,-26.4633146607
778,-26.3155697319
779,-26.4359953605
780,-26.6240026283
781,-26.4589896203
