iteration,energy
0,-12.0928794352
1,-11.7695968499
2,-12.5359922932
3,-12.3033209847
4,-11.7052575125
5,-12.5889073070
6,-12.6209460092
7,-12.3095707810
8,-11.7886132293
9,-12.0073550445
10,-12.4273932248
11,-12.8380456451
12,-12.2684272562
13,-12.9186569309
14,-12.8474742570
15,-13.6750225402
16,-12.4558410952
17,-12.8085739518
18,-13.2133084282
19,-13.2898360365
20,-12.9676662167
21,-14.1419894890
22,-13.7639411966
23,-13.6372461240
24,-14.2271010626
25,-13.7024307527
26,-14.0326958251
27,-13.8648563620
28,-13.6683219370
29,-13.8160482327
30,-13.5037093509
31,-14.0040182147
32,-13.8815189790
33,-14.0695623923
34,-14.0885652818
35,-14.2457654497
36,-14.1848062290
37,-14.0300559714
38,-13.8615793266
39,-14.3914069834
40,-14.3951877533
41,-14.2584587886
42,-14.6721173458
43,-14.3786231343
44,-14.4100140482
45,-13.9619042996
46,-14.1237432248
47,-13.9468994564
48,-14.2334633582
49,-14.3141816688
50,-14.1199405967
51,-14.4635705763
52,-14.3201745067
53,-15.0992807834
54,-14.6281332051
55,-14.3219974720
56,-14.1923834868
57,-13.8731298600
58,-14.3806962860
59,-14.0582777645
60,-14.4412463001
61,-14.4229805385
62,-14.6008085360
63,-14.0594819416
64,-13.9244694475
65,-14.3340947738
66,-14.1333381700
67,-14.1526852282
68,-14.3529284756
69,-14.4913608344
70,-14.3515514291
71,-14.4019094033
72,-14.1680920453
73,-13.9157186302
74,-14.0966584134
75,-14.4747145123
76,-14.0985319646
77,-14.1533018493
78,-14.2760508963
79,-14.2894837138
80,-14.6792071373
81,-14.6127179469
82,-14.4872811050
83,-14.3224450284
84,-14.2479430411
85,-14.1546212467
86,-14.1068962964
87,-14.1984281540
88,-14.3962378402
89,-14.1749630648
90,-14.3261697883
91,-14.5558788887
92,-14.5754270920
93,-14.4822896325
94,-14.4930454987
95,-14.7149101976
96,-14.1801628532
97,-14.3512441832
98,-14.6406195605
99,-14.1890843451
100,-14.5113419613
101,-14.4293400209
102,-14.5672975836
103,-14.5102293267
104,-14.3901476669
105,-14.4710744424
106,-14.3897845608
107,-14.2958232053
108,-14.6206027943
109,-14.2165838814
110,-14.2140157781
111,-14.4546211775
112,-14.6935692543
113,-14.6939432152
114,-14.2390892512
115,-14.5394873920
116,-14.2743389115
117,-14.1543529747
118,-14.4194044597
119,-14.3596283805
120,-14.6872706430
121,-14.4356656211
122,-14.2443733898
123,-14.4417949030
124,-14.3497156035
125,-14.4564941270
126,-14.5428689026
127,-14.9482035236
128,-14.3304695822
129,-14.4797404416
130,-14.6345565806
131,-14.4896794993
132,-14.1164268443
133,-14.5190895444
134,-14.3968345395
135,-14.3591762070
136,-14.4478629180
137,-14.7486613801
138,-14.8082525624
139,-14.5551122787
140,-14.4934939606
141,-14.4729863001
142,-14.1596620427
143,-14.4607210402
144,-14.2806010312
145,-14.2593731267
146,-14.1122848102
147,-14.5653965427
148,-14.4147158205
149,-14.4161411811
150,-14.5093308114
151,-14.4835457754
152,-14.3461202393
153,-14.1882619255
154,-14.3596059904
155,-14.3852032431
156,-14.4258027070
157,-14.3957304131
158,-14.4885229867
159,-14.7880092042
160,-14.5629899138
161,-14.6126340396
162,-14.2983337370
163,-14.1182575433
164,-14.2247734445
165,-14.4497254808
166,-14.2772954303
167,-14.6727625272
168,-14.3817304477
169,-14.7410533193
170,-14.4502446929
171,-14.5176130351
172,-14.5608745877
173,-14.5466373934
174,-14.4354296047
175,-14.7579341375
176,-14.4789737706
177,-14.8213083782
178,-14.4334350350
179,-14.6975363796
180,-14.4946990006
181,-14.5933341586
182,-14.5788705617
183,-14.5156365006
184,-14.4125679644
185,-14.7378494098
186,-14.3154567395
187,-13.9848172954
188,-14.2965252090
189,-14.4481068696
190,-14.2425879460
191,-14.3437310302
192,-14.3896681820
193,-14.2549159230
194,-14.2882830574
195,-14.5655425957
196,-14.4182672567
197,-14.4603080945
198,-14.3960227853
199,-14.5551630258
200,-14.5904388391
201,-14.8401434739
202,-14.1635817905
203,-14.5840720448
204,-14.1728203571
205,-14.6291906184
206,-14.0063669049
207,-14.7339926379
208,-14.2450643314
209,-14.2674931736
210,-14.3266890965
211,-14.4943152798
