iteration,energy
0,-17.8088564676
1,-18.3057353597
2,-18.2097196085
3,-18.3916264337
4,-17.4856388664
5,-18.7681232743
6,-18.3537217859
7,-18.1295518992
8,-18.9360251505
9,-19.4505548315
10,-18.8624579431
11,-18.9345697646
12,-19.1676839116
13,-19.4473744425
14,-19.4778641747
15,-19.0360931413
16,-19.0886583159
17,-18.9251293417
18,-19.3047236862
19,-18.7128420123
20,-19.0504352469
21,-19.5355434433
22,-19.4548628313
23,-19.4087240650
24,-19.2372589217
25,-19.4480376186
26,-19.9221412021
27,-19.0610882377
28,-19.6598137598
29,-19.5645903986
30,-19.6269113716
31,-19.7227289703
32,-19.1702720648
33,-19.8502612269
34,-19.5658184101
35,-19.6104057522
36,-19.3212867275
37,-19.3228079300
38,-19.6482752719
39,-19.4348862479
40,-19.4929224064
41,-19.5240340387
42,-19.5343870314
43,-19.4921236993
44,-19.7648033683
45,-19.7836640181
46,-19.6429416534
47,-19.5272316706
48,-19.8193912197
49,-20.1791034497
50,-19.4190757833
51,-19.8531711169
52,-19.8377294822
53,-19.7791554152
54,-19.6465184640
55,-20.1073623209
56,-19.3396494452
57,-19.5972315724
58,-19.5899727825
59,-19.8350283401
60,-20.0182901611
61,-19.7575655327
62,-19.4205359055
63,-19.5923083966
64,-19.8337635769
65,-19.6191878777
66,-19.5896675059
67,-19.8446389010
68,-19.7158983725
69,-19.6389248828
70,-19.7737615932
71,-19.8760804368
72,-19.7256344466
73,-19.7723231126
74,-19.6423449244
75,-19.7392887171
76,-19.6292000429
77,-19.3920187014
78,-19.7324127554
79,-19.7746773086
80,-19.6751372055
81,-19.7192808307
82,-19.8100828649
83,-19.8599113990
84,-19.8542034439
85,-19.6514569222
86,-19.9161717459
87,-19.7832248796
88,-19.7040858484
89,-19.8554190593
90,-19.6213109602
91,-19.9637228756
92,-19.7726476455
93,-19.7009207185
94,-19.9489849310
95,-19.6445628603
96,-19.9450975702
97,-19.7408560864
98,-19.7888206764
99,-19.8155415079
100,-19.7702754229
101,-19.8372981888
102,-19.7286215437
103,-19.7428683837
104,-19.7539118912
105,-19.8122860465
106,-19.8428166229
107,-19.8210161117
108,-19.9309828928
109,-19.7284695260
110,-19.8935168583
111,-19.7244915372
