iteration,energy
0,-12.2722963467
1,-12.2504754148
2,-12.0181345405
3,-12.2752343118
4,-12.0133978350
5,-12.3590629386
6,-13.1376049861
7,-13.0923799801
8,-12.9881259140
9,-13.3177694139
10,-14.1105502461
11,-13.5590262026
12,-14.1430290001
13,-14.0510513434
14,-14.2472497587
15,-14.1408767385
16,-13.7240219225
17,-14.7366195998
18,-14.1087527483
19,-14.0567645159
20,-14.2753663470
21,-14.5239110254
22,-14.0523147070
23,-14.2416548177
24,-14.7109449802
25,-14.4166284348
26,-14.5529440277
27,-14.1021473995
28,-14.4629279683
29,-15.2369646863
30,-14.1034791124
31,-14.2703391084
32,-14.3119497678
33,-13.8157978799
34,-14.3312359082
35,-14.2674444984
36,-14.3966812220
37,-14.8471197911
38,-14.2788216517
39,-14.1879482477
40,-14.5855888825
41,-14.6500916906
42,-14.2660256628
43,-14.3132247777
44,-14.4095950081
45,-14.6424766596
46,-14.1539336615
47,-13.9732340651
48,-14.3437167725
49,-14.2089487373
50,-14.2549515306
51,-14.3481719264
52,-14.5389708690
53,-14.4476568933
54,-14.8304223198
55,-14.4728709036
56,-15.0110536548
57,-14.1137094525
58,-14.0520959712
59,-14.8147655224
60,-14.1669017160
61,-14.0151740454
62,-14.4736462761
63,-14.7914555872
64,-14.5044533836
65,-14.3147823961
66,-14.4861962824
67,-14.3870167993
68,-14.5197109804
69,-14.4072019157
70,-14.8253661835
71,-15.0066364916
72,-14.4400637898
73,-14.6930129526
74,-14.3527934920
75,-14.4290106572
76,-14.2757760793
77,-14.5549433522
78,-14.2964865899
79,-15.1195091533
80,-14.6053135121
81,-14.6124353202
82,-14.8636632772
83,-14.5970501336
84,-14.9911013551
85,-14.8355858740
86,-14.6026065084
87,-14.8092923241
88,-14.8199860628
89,-14.6810380449
90,-14.7664522933
91,-14.6082507356
92,-14.6374580240
93,-14.8045286798
94,-14.9011642620
95,-14.7848268064
96,-14.8513471122
97,-14.7713871867
98,-14.8003783220
99,-14.8550792281
100,-14.8807648155
101,-14.9621140625
102,-15.0250695842
103,-14.9152188425
104,-14.7132345789
105,-14.7091164401
106,-14.7710045764
107,-14.9500240193
108,-14.9306216793
109,-14.8892205660
110,-14.7968013748
111,-14.8985190760
112,-14.7092670612
113,-14.8317124947
114,-14.8917157846
115,-14.7590801411
116,-14.6225979551
117,-14.6645859589
118,-14.8154081468
119,-14.8920326135
120,-15.1266940428
121,-14.9632779891
122,-14.8127906279
123,-14.7033796190
124,-14.7644186382
125,-14.7845133995
126,-14.7447000909
127,-14.7288409127
128,-15.0328615225
129,-14.6858097167
130,-14.7171082812
131,-14.7847954760
132,-14.8646158221
133,-14.9349431036
134,-14.8733928697
135,-14.8811674826
136,-14.8561180573
137,-14.8324682493
138,-14.8216487991
139,-14.8092700509
140,-14.8063303769
141,-14.7925071798
142,-14.9737256324
143,-14.9160443579
144,-14.8239261243
145,-14.7462213827
146,-14.7560696123
147,-14.9790546736
148,-14.9157053676
149,-14.8427340411
150,-14.8175907828
151,-14.8188904211
152,-14.7859894587
153,-14.9563698252
154,-14.7399206200
155,-14.7887811317
156,-14.8552516146
157,-14.8818668489
158,-14.7038112558
159,-14.8493431950
160,-14.8563473654
161,-14.7746818086
162,-14.8091454877
163,-14.7885625624
164,-14.8737836029
165,-14.8340522743
166,-14.6789284412
167,-14.8520837273
168,-14.8809249917
169,-14.8996950728
170,-14.8538483647
171,-14.8732559441
172,-15.0003976102
173,-14.7569651467
174,-14.7534301753
175,-14.9235374033
176,-14.8411656213
177,-14.7772029723
178,-14.7939909471
179,-14.8319042814
180,-14.7528447790
181,-14.8088178521
182,-14.8674475336
183,-14.8877635693
184,-15.0365590153
185,-15.0320204253
186,-14.8483333840
187,-14.9086569888
188,-14.7353323221
189,-14.7156144493
190,-14.8008114852
191,-14.7669123144
192,-14.8878749286
193,-14.7724493386
194,-14.9202390170
195,-14.8138303674
196,-14.6917588119
197,-14.7549414330
198,-14.8784033736
199,-14.7753321306
200,-14.9232986999
201,-14.7940455017
202,-14.9403880359
203,-14.8912374423
204,-14.8970014734
205,-14.9348374339
206,-14.9106480741
207,-14.9419857550
208,-14.6906297544
209,-14.9494516459
210,-14.8349834921
211,-14.7674837974
212,-14.8071994217
213,-14.7677249961
214,-15.0099897517
215,-14.8779394994
