M,VMC_energy,ED_energy,rel_error_pct
6,-14.8299318526,-14.92597111,0.6434372456721248
12,-14.8233615149,-14.92597111,0.6874567446486272
24,-14.8792829858,-14.92597111,0.3127979000892024
