iteration,energy
0,-12.0273775464
1,-12.3154152527
2,-12.1005560370
3,-11.8874563988
4,-11.8715428000
5,-11.8822466459
6,-11.9855355911
7,-12.2586096705
8,-12.1070103682
9,-12.4099718274
10,-12.0834133639
11,-12.8874568966
12,-12.7202013592
13,-12.6599406537
14,-12.8270905299
15,-13.3591596725
16,-12.5986675288
17,-12.9949388087
18,-12.7266945918
19,-12.7931470239
20,-13.0179939181
21,-12.9306655296
22,-12.7346135562
23,-12.9141788853
24,-13.0295892509
25,-12.7570541071
26,-12.9939483633
27,-13.1054237879
28,-12.9138841159
29,-12.9013720132
30,-12.9588137492
31,-12.8186166870
32,-12.9675597422
33,-13.1772686823
34,-13.2344523196
35,-13.1228140410
36,-13.0018601285
37,-13.0375888019
38,-13.0796143117
39,-13.0365531178
40,-12.9638381695
41,-13.0489372247
42,-13.1727631066
43,-13.0497420377
44,-13.1878957240
45,-13.2343005248
46,-13.2328762956
47,-13.0407385286
48,-13.0818679985
49,-13.1197562958
50,-13.2252780061
51,-13.1485917602
52,-13.1811892403
53,-13.0830819512
54,-13.0793087783
55,-13.1563079286
56,-13.1883042822
57,-13.1793545311
58,-13.2013772638
59,-13.2446643425
60,-13.1672589231
61,-13.1430363480
62,-13.1358860390
63,-13.1778191487
64,-13.2019591188
65,-13.1984365975
66,-13.1718360082
67,-13.1272804645
68,-13.0450530818
69,-13.0804383234
70,-13.1690279513
71,-13.0744721618
72,-13.1582181839
73,-13.2112577716
74,-13.1186000784
75,-13.1638866745
76,-13.1331831698
77,-13.1790735587
78,-13.1874903017
79,-13.1005386639
80,-13.0711780185
81,-13.1757394032
82,-13.1438858887
83,-13.1716793707
84,-13.1076489890
85,-13.2900828705
86,-13.1663792840
87,-13.2319000514
88,-13.1771056779
89,-13.1336481671
90,-13.1654946729
91,-13.2303324994
92,-13.1583369566
93,-13.1889346484
94,-13.2579428409
95,-13.2212200290
96,-13.2049162795
97,-13.1484311875
98,-13.1945971107
99,-13.1719289479
100,-13.2157420382
101,-13.1476344284
102,-13.1695321584
103,-13.1418969376
104,-13.1892690400
105,-13.1571160475
106,-13.1826056322
107,-13.1665098764
108,-13.1185057754
109,-13.1789080084
110,-13.1755588567
111,-13.2558388340
112,-13.1930770598
113,-13.1763273723
114,-13.1923671322
115,-13.1999386884
116,-13.2519854474
117,-13.2000236535
118,-13.2002961523
119,-13.1476834515
120,-13.1911199340
121,-13.1531402399
122,-13.1776223888
123,-13.1481584109
124,-13.1781761723
125,-13.2025956402
126,-13.1794294032
127,-13.2262077791
128,-13.1895149853
129,-13.1232932825
130,-13.1957809347
131,-13.1508469199
132,-13.1860157018
133,-13.1973618223
134,-13.1601557732
135,-13.2001350345
136,-13.2117125001
137,-13.2449840057
138,-13.1374033132
139,-13.2302821056
140,-13.0739671820
141,-13.2231773881
142,-13.1789402482
143,-13.1576922245
144,-13.1805984120
145,-13.2329262184
146,-13.1909187440
147,-13.1706512300
148,-13.1821140507
149,-13.2260532286
150,-13.1968392175
151,-13.1294184227
152,-13.1824952731
153,-13.1381711919
154,-13.1965480261
155,-13.1495096631
156,-13.2126687213
157,-13.1836072713
158,-13.1169036870
159,-13.2291320071
160,-13.2025556171
161,-13.1744158912
162,-13.1746543522
163,-13.1145707225
164,-13.2187414791
165,-13.1735069168
166,-13.1928693188
167,-13.1298141625
168,-13.1524920225
169,-13.1708655990
170,-13.1930910033
171,-13.2038772756
172,-13.1881621511
173,-13.1867075480
174,-13.1532537296
175,-13.1674141191
176,-13.1842161332
177,-13.2543579421
178,-13.1935815270
